ID,location_name,lat,long
2353529,,13.8449,-0.58513
2353530,"Yansa Gonion,Yenza Konion",13.58574,-2.93422
2353531,"Yansa,Yenza",13.60129,-2.92804
2353532,,12.93333,-3.96667
2353533,,13.02132,0.14237
2353534,,14.32613,0.1438
2353535,,12.03333,-0.06667
2353536,,13.3185,0.33545
2353537,,14.00991,-2.84658
2353538,,12.01667,0.2
2353539,Yenkui,12.46667,-3.85
2353540,,11.20779,-4.44132
2353541,,12.7012,2.0381
2353542,,12.65668,1.97469
2353543,,10.15,-5.06667
2353544,"Yendere,Yendéré",10.2,-4.96667
2353545,,10.18333,-3.43333
2353546,,13.37566,-1.86783
2353547,,9.68333,-2.93333
2353548,,12.06722,-1.72681
2353549,,12.78333,-2.45
2353550,"Jelkoto,Yelkoto,ylkwtw,Йелкото,یلکوتو,یلکوٹو",13.32727,-1.71744
2353551,,9.98333,-3.41667
2353552,,12.31667,0.63333
2353553,,13.42105,0.44131
2353554,,12.6,-2.08333
2353555,,12.81667,-0.21667
2353556,"Yelembasse,Yelémbassé",12.35,-0.28333
2353557,,11.0,-0.76667
2353558,,11.3,-3.4
2353559,,11.155,-4.15622
2353560,,10.98406,-4.10242
2353561,"Yebel Bakolanga,Yebelba,Yebelga,Yébél Bakolanga",14.0323,0.22534
2353562,,10.73333,-3.21667
2353563,,14.3168,-0.1942
2353564,,13.44161,-2.9597
2353565,"Ye,Yé",12.6,-3.11667
2353566,,13.33411,-0.09023
2353567,,12.71667,-2.78333
2353568,"Province du Yatenga,Yatenga,Yatenga Province",13.58333,-2.41667
2353569,,14.17057,-1.70857
2353570,,14.05143,0.35711
2353571,Yasso,12.36338,-4.02918
2353572,,11.71667,-0.15
2353573,,12.86667,-2.06667
2353574,,12.21667,-2.05
2353575,"Yarsen,Yarsin",12.74756,-1.77147
2353576,,13.61511,-0.88421
2353577,,12.6587,-1.00911
2353578,"Yargo,Yarogo",12.96415,-1.91783
2353579,,12.88333,-2.46667
2353580,"Mesma,Toubre,Toubré,Yarogo",12.84161,-1.5353
2353581,,12.71411,-1.7213
2353582,,11.81667,-1.28333
2353583,"Yarogen,Yaroguin",12.39389,-1.98386
2353584,,12.98333,0.08333
2353585,Yaro,10.8,-3.45
2353586,Yaro,11.25,-1.2
2353587,,12.2,-0.13333
2353588,"Yalka,Yarka",13.44244,-2.49931
2353589,,13.34824,-0.07835
2353590,,12.68333,0.48333
2353591,,13.63115,-2.64266
2353592,,13.46735,-1.55519
2353593,,13.39885,-2.60429
2353594,"Iarogo,Yargo",13.1723,-1.85608
2353595,,13.05097,-1.37497
2353596,,12.7376,-1.29865
2353597,,12.65,-0.58333
2353598,,12.36667,-0.86667
2353599,,12.31667,-0.51667
2353600,,12.26667,-0.43333
2353601,,12.23333,-0.36667
2353602,,12.21667,-2.08333
2353603,,12.18333,-2.18333
2353604,Yargo,12.06667,-0.28333
2353605,Yargo,11.81667,-1.15
2353606,"Kargatenga,Yargatenga",11.2125,0.00528
2353607,,13.22768,-0.03164
2353608,,12.3,-0.06667
2353609,,14.80505,-0.77394
2353610,,12.81667,-2.0
2353611,"Senoulo,Sénoulo,Yaraye,Yarayé",13.2123,-4.2199
2353612,,13.428,-4.0018
2353613,"Yara,Yaran",12.96667,-3.45
2353614,,10.26667,-5.01667
2353615,"Moko,Yaramoko,Yaro Mokho",11.78823,-3.29249
2353616,,11.08333,-0.48333
2353617,,12.56667,-0.75
2353618,"Yaongo,Yaongou",12.62182,-0.26469
2353619,,13.15997,-1.60529
2353620,,12.56636,1.29929
2353621,"Yaogen,Yaoguen,Yaoguin",12.79031,-1.02746
2353622,"Yaogen,Yaoghin,Yaoguen,Yaoguin",12.60268,-1.35277
2353623,"Yaogen,Yaoghin,Yaoguen",12.3298,-1.60734
2353624,"Yahorin,Yaogen,Yaorin",12.23333,-2.1
2353625,"Yaogen,Yaoghin,Yaoguen,Yaoguin",12.19377,-1.76279
2353626,,13.18962,0.17514
2353627,,14.15121,-2.17778
2353628,,13.42945,0.65042
2353629,"Yansare,Yansaré",12.09481,-1.43515
2353630,,12.01667,-3.35
2353631,"Yangasso,Yankasso,Yankosso",12.20581,-3.19934
2353632,,12.73354,-1.31263
2353633,,12.47786,-1.49954
2353634,Yanga,12.12515,-1.31368
2353635,"Yanege,Yanegue,Yanengue,Yanengué,Yanégué,Yanégé",12.59507,-1.51493
2353636,,12.66667,0.25
2353637,"Yandegen,Yandeguen,Yandeguin,Yandégen,Yandéguen,Yandéguin",12.26006,-1.97427
2353638,,12.88112,-1.00779
2353639,,12.7075,-1.79621
2353640,,12.34849,-1.44766
2353641,,12.03333,-3.33333
2353642,,12.56667,-0.8
2353643,,12.06667,-0.43333
2353644,,14.12623,-2.09063
2353645,,12.52205,-1.4982
2353646,"Yamba,Yanmba,Yemba",12.29745,0.33864
2353647,,13.18377,-1.73304
2353648,,13.31809,1.10072
2353649,,12.81066,-1.32026
2353650,"Yamako,Yamoko",11.93333,-1.03333
2353651,,12.6,-2.6
2353652,,13.39675,0.92528
2353653,,12.95109,-1.90685
2353654,,13.13406,-0.35854
2353655,"Yalgoueogo,Yalgouéogo,Yalroueougo,Yalrouéougo",12.90822,-1.00647
2353656,,13.23664,-0.43513
2353657,,13.16307,-1.4121
2353658,"Yalo,Yalo Gourounga",11.95,-1.91667
2353659,,12.48075,-1.0748
2353660,,13.48008,-0.8225
2353661,,12.53333,-0.6
2353662,,12.81667,-0.58333
2353663,"Yallo,Yalo",12.98333,-3.93333
2353664,,13.37131,-2.27658
2353665,,13.49276,-0.11876
2353666,,13.49045,-2.56824
2353667,"Jalka,Yalka,yalka,ylka,Ялка,یالکا,یلکا",13.4985,-1.54752
2353668,,13.52337,0.44767
2353669,"Yalgo,Yargo",12.94978,-1.26472
2353670,Yalgo,12.93333,-0.85
2353672,,13.48538,0.70523
2353673,Yalga,13.2674,-1.43688
2353674,,14.6265,-1.24565
2353675,,11.23333,-1.96667
2353676,"Yalbouga,Yelbouga,Yelebouga,Yélébouga",11.11917,-1.91639
2353677,,12.79903,-1.52607
2353678,"Yabaso,Yabasso,Yalasso",11.2,-3.9
2353679,,13.2683,-3.9172
2353680,"Yalanga,Yelenga,Yélenga",14.27846,-1.04358
2353681,"Yalaga,Yalka",13.86311,-2.25399
2353682,,12.5,-2.18333
2353683,,10.61667,-5.28333
2353684,"Yakouta,Yakuta",14.07584,-0.13689
2353685,,11.46045,-4.27095
2353686,,13.55413,-0.88226
2353687,Yako,11.6,-1.35
2353688,"Jako,Yako,Яко",12.9591,-2.26075
2353689,,11.99707,-1.5618
2353690,,11.8,-1.15
2353691,,11.63333,-1.15
2353692,,12.9444,-1.71017
2353693,,12.92876,-1.75926
2353694,"Yakala,Yakata",11.51667,-0.71667
2353695,,12.28805,-0.2017
2353696,,13.39029,-1.26827
2353697,,13.20396,0.09986
2353698,"Yaio,Yayo,Yaïo",12.91667,-3.46667
2353699,"Yaika,Yayika",12.2,-0.8
2353700,,12.73333,-0.55
2353701,,13.14533,-0.38644
2353702,,12.40969,-1.62415
2353703,,12.23333,0.35
2353704,,13.40593,0.46088
2353705,,13.41787,0.53948
2353706,,12.91667,-0.71667
2353707,,12.75,-2.46667
2353708,Yada,12.02315,-1.98355
2353709,"Yactenga,Yaktenga",12.58361,-1.84028
2353710,,10.53333,-5.08333
2353711,"Yabonso,Yabonsongo",13.65743,-2.4012
2353712,,13.37551,-2.56849
2353713,,12.98801,-1.50561
2353714,,12.97635,-1.49542
2353715,,11.58333,-3.78333
2353716,,11.15,-0.68333
2353717,Yaba,12.87029,-2.85713
2353718,,11.5,-2.51667
2353719,,12.78333,-0.01667
2353720,,12.3,-0.95
2353721,,12.24661,-1.67012
2353722,,12.31667,-0.85
2353723,"Oulmasoutou,Woulmassoutou",13.69958,0.16695
2353724,,13.096,-4.0533
2353725,"Ouokinga Ouobilo,Wotienga Wobila",13.6427,-2.67
2353726,"Ouote,Ouotte,Ouotté,Ouoté,Wote,Wotte,Woté",12.83333,-3.65
2353727,,13.6774,0.25233
2353728,,11.75089,-4.39108
2353729,,12.31667,-3.51667
2353730,"Ouorobgo,Worobgo",12.07062,-1.24429
2353731,"Foret Classee de Ouoro,Foret Classee de Woro,Forêt Classée de Ouoro,Forêt Classée de Woro",12.35,-2.93333
2353732,"Ouro,Woro",13.85748,-2.11771
2353733,,12.35,-2.9
2353734,,12.0,-2.41667
2353735,,11.7,-3.68333
2353736,"Ouore Yarse,Ouoré Yarsé,Wore,Woré",13.21193,-2.62578
2353737,"Ouore,Ouoré,Wore,Woré",12.56075,-1.03693
2353738,,12.9,0.9
2353739,"Ouonon,Wono",13.04465,-2.1237
2353740,,10.6,-3.65
2353741,"Oumsom,Womsom",13.38426,-2.16987
2353742,,10.7,-5.38333
2353743,,13.43771,-0.54091
2353744,,12.33333,-2.9
2353745,,11.28987,-4.36869
2353746,,10.3,-3.75
2353747,"Wedbila,Wodbila",12.15738,-1.42127
2353748,,12.08333,-0.06667
